ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
201,3.539,0.654631,1.6651,1.6651,0.739901,1.13724,1.13724,0.74256,1.09726,1.09726,0.654631,1.64388,1.64388,0,All,#4682B4,0
201,3.8929,0.654631,1.31611,1.31611,0.739901,0.660784,0.660784,0.74256,0.620797,0.620797,0.654631,1.25259,1.25259,0,All,#4682B4,0
201,4.2468,0.654631,1.60591,1.60591,0.739901,1.0681,1.0681,0.74256,1.02811,1.02811,0.654631,1.61741,1.61741,0,All,#4682B4,0
201,4.6007,0.654631,0.994691,0.994691,0.739901,0.03189,0.03189,0.74256,-0.0080966,-0.0080966,0.654631,0.983663,0.983663,0,All,#4682B4,0
201,4.9546,0.654631,1.00692,1.00692,0.739901,0.156542,0.156542,0.74256,0.116555,0.116555,0.654631,1.06961,1.06961,0,All,#4682B4,0
201,5.3085,0.654631,1.60744,1.60744,0.739901,0.925048,0.925048,0.74256,0.885061,0.885061,0.654631,1.52761,1.52761,0,All,#4682B4,0
201,5.6624,0.654631,0.800334,0.800334,0.739901,-0.0302944,-0.0302944,0.74256,-0.070281,-0.070281,0.654631,0.813435,0.813435,0,All,#4682B4,0
201,6.0162,0.654631,1.19534,1.19534,0.739901,0.459161,0.459161,0.74256,0.419175,0.419175,0.654631,1.10865,1.10865,0,All,#4682B4,0
201,6.3701,0.654631,1.38234,1.38234,0.739901,0.658644,0.658644,0.74256,0.618657,0.618657,0.654631,1.34622,1.34622,0,All,#4682B4,0
201,6.724,0.654631,1.86427,1.86427,0.739901,1.51693,1.51693,0.74256,1.47695,1.47695,0.654631,1.61803,1.61803,0,All,#4682B4,0
201,7.0779,0.654631,1.18324,1.18324,0.739901,0.452535,0.452535,0.74256,0.412548,0.412548,0.654631,1.2044,1.2044,0,All,#4682B4,0
