standEta_A1_abscissa,standEta_A1_cdf,standEta_tau1_abscissa,standEta_tau1_cdf,standEta_I0_abscissa,standEta_I0_cdf,split
0.203228,0.583333,0.259215,0.583333,0.233484,0.583333,All
0.203981,0.585227,0.259458,0.585227,0.23602,0.585227,All
0.211282,0.587121,0.25956,0.587121,0.238813,0.587121,All
0.213089,0.589015,0.261564,0.589015,0.240223,0.589015,All
0.218043,0.590909,0.26251,0.590909,0.24557,0.590909,All
0.231919,0.592803,0.265952,0.592803,0.25466,0.592803,All
0.24035,0.594697,0.267646,0.594697,0.262578,0.594697,All
0.246077,0.596591,0.26869,0.596591,0.26343,0.596591,All
0.247287,0.598485,0.268916,0.598485,0.269941,0.598485,All
0.255853,0.600379,0.279742,0.600379,0.272547,0.600379,All
0.257051,0.602273,0.279915,0.602273,0.275993,0.602273,All
0.2572,0.604167,0.280017,0.604167,0.276008,0.604167,All
0.257562,0.606061,0.288716,0.606061,0.276995,0.606061,All
0.260628,0.607955,0.290418,0.607955,0.283578,0.607955,All
0.264639,0.609848,0.2964,0.609848,0.287461,0.609848,All
0.265435,0.611742,0.300529,0.611742,0.287954,0.611742,All
0.284365,0.613636,0.30056,0.613636,0.288394,0.613636,All
0.285488,0.61553,0.300906,0.61553,0.289929,0.61553,All
0.286725,0.617424,0.310701,0.617424,0.297618,0.617424,All
0.295418,0.619318,0.322659,0.619318,0.300699,0.619318,All
0.296654,0.621212,0.327331,0.621212,0.301873,0.621212,All
0.29921,0.623106,0.330843,0.623106,0.304912,0.623106,All
0.299691,0.625,0.333295,0.625,0.311342,0.625,All
0.303241,0.626894,0.347926,0.626894,0.315969,0.626894,All
0.308809,0.628788,0.351862,0.628788,0.318101,0.628788,All
0.316057,0.630682,0.35269,0.630682,0.321826,0.630682,All
0.317632,0.632576,0.355574,0.632576,0.327634,0.632576,All
0.322339,0.63447,0.35697,0.63447,0.337079,0.63447,All
0.324278,0.636364,0.35753,0.636364,0.342937,0.636364,All
0.324547,0.638258,0.359686,0.638258,0.346107,0.638258,All
0.331253,0.640152,0.359866,0.640152,0.353638,0.640152,All
0.337829,0.642045,0.360179,0.642045,0.35763,0.642045,All
0.340061,0.643939,0.363309,0.643939,0.361289,0.643939,All
0.342262,0.645833,0.36619,0.645833,0.365315,0.645833,All
0.348024,0.647727,0.36885,0.647727,0.368514,0.647727,All
0.348502,0.649621,0.370841,0.649621,0.391103,0.649621,All
0.35069,0.651515,0.381079,0.651515,0.397047,0.651515,All
0.354882,0.653409,0.385177,0.653409,0.399805,0.653409,All
0.358963,0.655303,0.387578,0.655303,0.40306,0.655303,All
0.359522,0.657197,0.387844,0.657197,0.407143,0.657197,All
0.360392,0.659091,0.388476,0.659091,0.418612,0.659091,All
0.361734,0.660985,0.392437,0.660985,0.425796,0.660985,All
0.368277,0.662879,0.397683,0.662879,0.426476,0.662879,All
0.374942,0.664773,0.410197,0.664773,0.427456,0.664773,All
0.377255,0.666667,0.41286,0.666667,0.42774,0.666667,All
0.377381,0.668561,0.414441,0.668561,0.428054,0.668561,All
0.378176,0.670455,0.422162,0.670455,0.430088,0.670455,All
0.385104,0.672348,0.42378,0.672348,0.431615,0.672348,All
0.388614,0.674242,0.429059,0.674242,0.435508,0.674242,All
0.395188,0.676136,0.436658,0.676136,0.44053,0.676136,All
0.405365,0.67803,0.439296,0.67803,0.452481,0.67803,All
0.415397,0.679924,0.441112,0.679924,0.457741,0.679924,All
0.41829,0.681818,0.446464,0.681818,0.461343,0.681818,All
0.41945,0.683712,0.448918,0.683712,0.462103,0.683712,All
0.453584,0.685606,0.449552,0.685606,0.467255,0.685606,All
0.454061,0.6875,0.452189,0.6875,0.474182,0.6875,All
0.468443,0.689394,0.464024,0.689394,0.481793,0.689394,All
0.470305,0.691288,0.467208,0.691288,0.492028,0.691288,All
0.474707,0.693182,0.471823,0.693182,0.499443,0.693182,All
0.474844,0.695076,0.475084,0.695076,0.499771,0.695076,All
0.476659,0.69697,0.487909,0.69697,0.502559,0.69697,All
0.476756,0.698864,0.496078,0.698864,0.510657,0.698864,All
0.482319,0.700758,0.499951,0.700758,0.51546,0.700758,All
0.491055,0.702652,0.512707,0.702652,0.516236,0.702652,All
0.491608,0.704545,0.514291,0.704545,0.517788,0.704545,All
0.494914,0.706439,0.515077,0.706439,0.528547,0.706439,All
0.495085,0.708333,0.516947,0.708333,0.530398,0.708333,All
0.495922,0.710227,0.519168,0.710227,0.533978,0.710227,All
0.498987,0.712121,0.534792,0.712121,0.536109,0.712121,All
0.50436,0.714015,0.535363,0.714015,0.536556,0.714015,All
0.508719,0.715909,0.546988,0.715909,0.539705,0.715909,All
0.511519,0.717803,0.551388,0.717803,0.539839,0.717803,All
0.512081,0.719697,0.552821,0.719697,0.543673,0.719697,All
0.513114,0.721591,0.556678,0.721591,0.550935,0.721591,All
0.517964,0.723485,0.561917,0.723485,0.556189,0.723485,All
0.519656,0.725379,0.562804,0.725379,0.560407,0.725379,All
0.521663,0.727273,0.567834,0.727273,0.561147,0.727273,All
0.526084,0.729167,0.570242,0.729167,0.564432,0.729167,All
0.526987,0.731061,0.577527,0.731061,0.566231,0.731061,All
0.537581,0.732955,0.578678,0.732955,0.578202,0.732955,All
0.540808,0.734848,0.581958,0.734848,0.584899,0.734848,All
0.548314,0.736742,0.591045,0.736742,0.585874,0.736742,All
